Title,Link,Price
MSI Gaming GeForce RTX 4070 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 Ti GAMING X TRIO WHITE 12G,https://www.newegg.ca/msi-geforce-rtx-4070-ti-rtx-4070-ti-gaming-x-trio-white-12g/p/N82E16814137786,1279.99
PNY GeForce RTX 4070 Ti 12GB XLR8 Gaming VERTO EPIC-X RGB Overclocked Triple Fan Graphics Card DLSS 3,https://www.newegg.ca/pny-geforce-rtx-4070-ti-vcg4070t12tfxxpb1-o/p/N82E16814133848,1299.99
"ASUS ROG Strix NVIDIA GeForce RTX 4070 Ti Gaming Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) ROG-STRIX-RTX4070TI-12G-GAMING",https://www.newegg.ca/asus-geforce-rtx-4070-ti-rog-strix-rtx4070ti-12g-gaming/p/N82E16814126605,1299.99
MSI Suprim GeForce RTX 4070 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 4070 Ti SUPRIM X 12G,https://www.newegg.ca/msi-geforce-rtx-4070-ti-rtx-4070-ti-suprim-x-12g/p/N82E16814137770,1329.99
"ASUS ROG Strix NVIDIA GeForce RTX 4070 Ti OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) ROG-STRIX-RTX4070TI-O12G-GAMING",https://www.newegg.ca/asus-geforce-rtx-4070-ti-rog-strix-rtx4070ti-o12g-gaming/p/N82E16814126604,1369.99
"ZOTAC GAMING GeForce RTX 4080 16GB Trinity OC DLSS 3 16GB GDDR6X 256-bit 22.4 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, SPECTRA 2.0 RGB Lighting, ZT-D40810J-10P",https://www.newegg.ca/zotac-geforce-rtx-4080-zt-d40810j-10p/p/N82E16814500543,1399.99
MSI Gaming GeForce RTX 4070 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 4070 Ti GAMING TRIO 12G,https://www.newegg.ca/msi-geforce-rtx-4070-ti-rtx-4070-ti-gaming-trio-12g/p/N82E16814137778,1399.99
"ZOTAC GAMING GeForce RTX 4080 16GB AMP Extreme AIRO DLSS 3 16GB GDDR6X 256-bit 22.4 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, SPECTRA 2.0 RGB Lighting, ZT-D40810B-10P",https://www.newegg.ca/zotac-geforce-rtx-4080-zt-d40810b-10p/p/N82E16814500541,1499.99
MSI Gaming GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 Video Card RTX 4080 16GB GAMING X TRIO,https://www.newegg.ca/msi-geforce-rtx-4080-rtx-4080-16gb-gaming-x-trio/p/N82E16814137766,1579.99
GIGABYTE EAGLE OC GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080EAGLE OC-16GD,https://www.newegg.ca/gigabyte-geforce-rtx-4080-gv-n4080eagle-oc-16gd/p/N82E16814932562,1599.99
"ASUS TUF Gaming GeForce RTX 4080 Gaming Graphics Card (PCIe 4.0, 16GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) TUF-RTX4080-16G-GAMING",https://www.newegg.ca/asus-geforce-rtx-4080-tuf-rtx4080-16g-gaming/p/N82E16814126599,1599.99
GIGABYTE Gaming GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080GAMING OC-16GD,https://www.newegg.ca/gigabyte-geforce-rtx-4080-gv-n4080gaming-oc-16gd/p/N82E16814932561,1649.99
GALAX GeForce RTX 4070 Ti Metal Master OC 12GB Graphics Card GDDR6X Gaming GPU RTX 4070Ti Video Card,https://www.newegg.ca/galax-geforce-rtx-4070-ti-rtx-4070-ti-metal-master-oc-12gb/p/1FT-00J5-00007,1665.0
GIGABYTE Eagle GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080EAGLE-16GD,https://www.newegg.ca/gigabyte-geforce-rtx-4080-gv-n4080eagle-16gd/p/N82E16814932563,1699.99
GIGABYTE AERO OC GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 ATX Video Card GV-N4080AERO OC-16GD,https://www.newegg.ca/gigabyte-geforce-rtx-4080-gv-n4080aero-oc-16gd/p/N82E16814932560,1719.99
GIGABYTE AORUS GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080AORUS M-16GD,https://www.newegg.ca/gigabyte-geforce-rtx-4080-gv-n4080aorus-m-16gd/p/N82E16814932559,1749.99
"ASUS TUF Gaming GeForce RTX 4080 OC Edition Gaming Graphics Card (PCIe 4.0, 16GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) TUF-RTX4080-O16G-GAMING",https://www.newegg.ca/asus-geforce-rtx-4080-tuf-rtx4080-o16g-gaming/p/N82E16814126598,1749.99
"ZOTAC GeForce RTX 4070Ti-12GB X-Gaming OC, 12G 192-bit GDDR6X, PCI Express x16 4.0, 3*DP1.4a, HDMI 2.1 Video Game Graphic Card",https://www.newegg.ca/zotac-geforce-rtx-4070-ti-rtx-4070ti-12gb-x-gaming-oc/p/1FT-000M-003F8,1799.35
PNY GeForce RTX 4080 16GB XLR8 Gaming VERTO EPIC-X RGB Overclocked Triple Fan Graphics Card DLSS 3,https://www.newegg.ca/pny-geforce-rtx-4080-vcg408016tfxxpb1-o/p/N82E16814133844,1799.99
MSI Ventus GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 Video Card RTX 4080 16GB VENTUS 3X OC,https://www.newegg.ca/msi-geforce-rtx-4080-rtx-4080-16gb-ventus-3x-oc/p/N82E16814137765,1799.99
